number;X;Y;STATUS
16;7933.91;5975.05;start
902;7917.664908747454;6006.4981211873;new
51;7880.55;6131.17;stop
97;7875.81;6123.08;
50;7868.71;6101.19;
96;7853.41;6112.35;
95;7835.48;5831.66;
77;7852.41;5776.89;
81;7905.29;5845.37;
