number;x;y;status
51;7880.55;6131.17;start
500;7855.048189071472;6111.155085618456;new
95;7835.48;5831.66;stop
77;7852.41;5776.89;
81;7905.29;5845.37;
16;7933.91;5975.05;
903;7914.905543943513;6014.571435152653;
